TemplateType=fptcustomcustom	Version=2019.0127	TemplateSignature=T1VURVJXRUFSLEJMQVpFUg==	上3行は Amazon.com 記入用です。上3行は変更または削除しないでください。.																							画像								バリエーション				商品基本情報											商品検索情報																推奨ブラウズノード別の情報	出品情報																							
feed_product_type	出品者SKU	ブランド名	商品名	商品コード(JANコード等)	商品コードのタイプ	表地素材	推奨ブラウズノード	サイズ	カラー	カラーマップ	対象年齢・性別	サイズマップ	在庫数	商品の販売価格	商品メイン画像URL	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	親子指定	親商品のSKU(商品管理番号)	親子関係のタイプ	バリエーションテーマ	アップデート・削除	メーカー型番	商品説明文	ヒールのタイプ	留め具のタイプ	モデル年(発売年・発表年)	inner_material_type1	inner_material_type2	inner_material_type3	inner_material_type4	inner_material_type5	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	検索キーワード	ライフスタイル	ライフスタイル	スタイルキーワード	シーズン	プラチナキーワード	プラチナキーワード	プラチナキーワード	プラチナキーワード	プラチナキーワード	コート・ワンピース・チュニック着丈	material_type	出荷作業日数	商品のコンディション	商品のコンディション説明	ポイント	セール時ポイント	商品の公開日	予約商品の販売開始日	メーカー希望価格	使用しない支払い方法	配送日時指定SKUリスト	セール価格	セール開始日	セール終了日	商品の入荷予定日	最大注文個数	ギフトメッセージ	ギフト包装	メーカー製造中止	配送パターン	販売形態(並行輸入品)	item_package_quantity	廃盤日	販売開始日	商品タックスコード
feed_product_type	item_sku	brand_name	item_name	external_product_id	external_product_id_type	outer_material_type	recommended_browse_nodes	size_name	color_name	color_map	department_name	size_map	quantity	standard_price	main_image_url	material_composition1	material_composition2	material_composition3	material_composition4	material_composition5	material_composition6	material_composition7	material_composition8	material_composition9	material_composition10	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	other_image_url7	other_image_url8	parent_child	parent_sku	relationship_type	variation_theme	update_delete	part_number	product_description	heel_type	closure_type	model_year	inner_material_type1	inner_material_type2	inner_material_type3	inner_material_type4	inner_material_type5	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	generic_keywords	lifestyle1	lifestyle2	style_keywords	seasons	platinum_keywords1	platinum_keywords2	platinum_keywords3	platinum_keywords4	platinum_keywords5	specific_uses_keywords	material_type	fulfillment_latency	condition_type	condition_note	standard_price_points	sale_price_points	product_site_launch_date	merchant_release_date	list_price	optional_payment_type_exclusion	delivery_schedule_group_id	sale_price	sale_from_date	sale_end_date	restock_date	max_order_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	distribution_designation	item_package_quantity	offering_end_date	offering_start_date	product_tax_code
outerwear	PAT010V	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's    	 	 	ポリエステル	2131480051	 	 	 	レディーズ	 	 	 	http://kai8217.xsrv.jp/backcountry_img/PAT010V_KILPK.jpg											 	 	 	 	 	 	 		parent	 	 	SizeColor	Update		"パタゴニアの女性のより良いセーター1 / 4Zipフリースプルオーバーは、ほとんどのセーターよりもスキー、ハイキング、キャンプに適しています。 スリムフィットは、より快適にこのセーターの柔らかいフリースをあなたの体に近づけます、そしてそれはあなたのスキー用具かレインジャケットを重ねることがより簡単です。 あなたが汗をかき立てる場合のために、パタゴニアは1 / 4zipの前部を加えました、そしてジッパー式の袖のポケットはあなたの貴重品を固定します。
  
  
  
  
  
  
   ハイキング、登山、そしてスキーを楽しむための同行者
   より良いセーター生地が水分を絶縁し、管理します
   柔らかいフリースの内側がさらに暖かさを提供
   簡単な換気のための1 / 4zipフロントプルオーバーデザイン
   スリムフィットでラギーを軽減し、重ね着を容易にします
   パタゴニアは持続可能なアウトドア用品の製造に取り組んでいます"																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-BIRWH-XXS	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Birch White XXS	888336848288	UPC	ポリエステル	2131480051	XXS	Birch White	Birch White	レディーズ	XXS	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-BIRWH-XS	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Birch White XS	888336466048	UPC	ポリエステル	2131480051	XS	Birch White	Birch White	レディーズ	XS	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-BIRWH-S	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Birch White S	888336466055	UPC	ポリエステル	2131480051	S	Birch White	Birch White	レディーズ	S	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-BIRWH-M	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Birch White M	888336466062	UPC	ポリエステル	2131480051	M	Birch White	Birch White	レディーズ	M	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-BIRWH-L	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Birch White L	888336466079	UPC	ポリエステル	2131480051	L	Birch White	Birch White	レディーズ	L	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-BIRWH-XL	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Birch White XL	888336466086	UPC	ポリエステル	2131480051	XL	Birch White	Birch White	レディーズ	XL	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-FLOPK-XXS	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Flora Pink XXS	191743668449	UPC	ポリエステル	2131480051	XXS	Flora Pink	Flora Pink	レディーズ	XXS	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	PAT010V-FLOPK-XS	Patagonia	[ パタゴニア レディース セーター フリース ジャケット ]Patagonia Better Sweater 1/4-Zip Fleece Jacket - Women's Flora Pink XS	191743668456	UPC	ポリエステル	2131480051	XS	Flora Pink	Flora Pink	レディーズ	XS	1.0	16494.5	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK.jpg											http://kai8217.xsrv.jp/backcountry_img/PAT010V_CLANV_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_BIRWH_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_FLOPK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_SMOVI_D2.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_LTVIBL_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/PAT010V_MATGN_D1.jpg		child	PAT010V	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
