,title,upc
0,Patagonia Fleetwith Dress,191743592751
1,Patagonia Fleetwith Dress,190696761795
2,Patagonia Fleetwith Dress,190696761801
3,Patagonia Fleetwith Dress,190696761818
4,Patagonia Women's Fleetwith Dress - XL - Black,190696617252
5,"Women's Patagonia Fleetwith Drawcord Dress, Size X-Small - Black",190696617214
6,"Women's Patagonia Fleetwith Drawcord Dress, Size Small - Black",190696617221
7,"Women's Patagonia Fleetwith Drawcord Dress, Size Medium - Black",190696617238
8,Patagonia Women's Fleetwith Dress Crux/classic Navy - Size - Small,190696617672
9,Patagonia Women's Fleetwith Dress - Medium - Crux / Classic Navy,190696617696
10,Patagonia Women's Fleetwith Dress - Large - Crux / Classic Navy,190696617719
11,Patagonia Women's Fleetwith Dress Crux/classic Navy - Size - XL,190696617733
12,Patagonia Womens Fleet with Dress XS - Pesto - Patagonia Women's Apparel,190696761788
13,"Women's Patagonia Fleetwith Drawcord Dress, Size Large - Black",190696617245
14,"Women's Patagonia Fleetwith Drawcord Dress, Size X-Small - Blue",191743592713
15,"Women's Patagonia Fleetwith Drawcord Dress, Size X-Small - Blue",191743592713
16,"Women's Patagonia Fleetwith Drawcord Dress, Size Medium - Blue",191743592782
17,"Women's Patagonia Fleetwith Drawcord Dress, Size Large - Blue",191743592829
18,"Women's Patagonia Fleetwith Drawcord Dress, Size X-Large - Blue",191743592843
19,"Women's Patagonia Fleetwith Drawcord Dress, Size X-Small - Red",191743597909
20,"Women's Patagonia Fleetwith Drawcord Dress, Size Small - Red",191743597916
21,"Women's Patagonia Fleetwith Drawcord Dress, Size Medium - Red",191743597923
22,"Women's Patagonia Fleetwith Drawcord Dress, Size X-Large - Red",191743597947
