,title,upc,color,size
0,"Patagonia Torrentshell Jacket - Women's Black, S",888336772651,Black,S
1,"Patagonia Torrentshell Jacket - Women's Black, M",888336772668,Black,M
2,"Patagonia Torrentshell Jacket - Women's Black, L",888336772675,Black,L
3,"Patagonia Torrentshell Jacket - Women's Black, S",885657810734,Black,S
4,"Patagonia Torrentshell Jacket - Women's Black, L",885657810758,Black,L
5,"Patagonia Torrentshell Jacket - Women's Black, M",885657810741,Black,M
6,"Patagonia Torrentshell Jacket - Women's Black, XS",888336772644,Black,XS
7,"Patagonia Torrentshell Jacket - Women's Black, XS",885657810727,Black,XS
8,"Patagonia Torrentshell Jacket - Women's Black, XL",885657810765,Black,XL
9,"Patagonia Torrentshell Jacket - Women's Feather Grey, L",888336055945,Feather Grey,L
10,"Patagonia Torrentshell Jacket - Women's Cobalt Blue, L",887187721191,Cobalt Blue,L
11,"Patagonia Torrentshell Jacket - Women's Cobalt Blue, M",887187721184,Cobalt Blue,M
12,"Patagonia Torrentshell Jacket - Women's Feather Grey, M",888336055938,Feather Grey,M
13,"Patagonia Torrentshell Jacket - Women's Concord Purple, M",888336157458,Concord Purple,M
14,"Patagonia Torrentshell Jacket - Women's Ultramarine, M",888336157755,Ultramarine,M
15,"Patagonia Torrentshell Jacket - Women's Bandana Blue, L",888336514312,Bandana Blue,L
16,"Patagonia Torrentshell Jacket - Women's Tobago Blue, L",887187453856,Tobago Blue,L
17,"Patagonia Torrentshell Jacket - Women's Tobago Blue, XL",887187453863,Tobago Blue,XL
18,"Patagonia Torrentshell Jacket - Women's Mayan Yellow, L",887187809431,Mayan Yellow,L
19,"Patagonia Torrentshell Jacket - Women's Emerald, S",888336055822,Emerald,S
20,"Patagonia Torrentshell Jacket - Women's Concord Purple, L",888336157465,Concord Purple,L
21,"Patagonia Torrentshell Jacket - Women's Feather Grey, S",888336055921,Feather Grey,S
22,"Patagonia Torrentshell Jacket - Women's Concord Purple, S",888336157441,Concord Purple,S
23,"Patagonia Torrentshell Jacket - Women's Ultramarine, XS",888336157731,Ultramarine,XS
24,"Patagonia Torrentshell Jacket - Women's Bandana Blue, S",888336514299,Bandana Blue,S
25,"Patagonia Torrentshell Jacket - Women's Bandana Blue, M",888336514305,Bandana Blue,M
26,"Patagonia Torrentshell Jacket - Women's Shock Pink, XS",888336515487,Shock Pink,XS
27,"Patagonia Torrentshell Jacket - Women's Bandana Blue, XL",888336514329,Bandana Blue,XL
28,"Patagonia Torrentshell Jacket - Women's Ultramarine, L",888336157762,Ultramarine,L
29,"Patagonia Torrentshell Jacket - Women's Pineapple, L",887187301232,Pineapple,L
30,"Patagonia Torrentshell Jacket - Women's Pineapple, XL",887187301256,Pineapple,XL
31,"Patagonia Torrentshell Jacket - Women's Violetti, S",887187550197,Violetti,S
32,"Patagonia Torrentshell Jacket - Women's Violetti, XL",887187550227,Violetti,XL
33,"Patagonia Torrentshell Jacket - Women's Cobalt Blue, XS",887187721160,Cobalt Blue,XS
34,"Patagonia Torrentshell Jacket - Women's Cobalt Blue, S",887187721177,Cobalt Blue,S
35,"Patagonia Torrentshell Jacket - Women's Cobalt Blue, XL",887187721207,Cobalt Blue,XL
36,"Patagonia Torrentshell Jacket - Women's Violetti, M",887187550203,Violetti,M
37,"Patagonia Torrentshell Jacket - Women's Shock Pink, M",888336515500,Shock Pink,M
38,"Patagonia Torrentshell Jacket - Women's Shock Pink, L",888336515517,Shock Pink,L
39,"Patagonia Torrentshell Jacket - Women's Tobago Blue, S",887187453832,Tobago Blue,S
40,"Patagonia Torrentshell Jacket - Women's Tobago Blue, M",887187453849,Tobago Blue,M
41,"Patagonia Torrentshell Jacket - Women's Concord Purple, XL",888336157472,Concord Purple,XL
42,"Patagonia Torrentshell Jacket - Women's Mayan Yellow, XL",887187809448,Mayan Yellow,XL
43,"Patagonia Torrentshell Jacket - Women's Emerald, XL",888336055853,Emerald,XL
44,"Patagonia Torrentshell Jacket - Women's Mayan Yellow, S",887187809417,Mayan Yellow,S
45,"Patagonia Torrentshell Jacket - Women's Mayan Yellow, M",887187809424,Mayan Yellow,M
46,"Patagonia Torrentshell Jacket - Women's Aqua Stone, S",888336157113,Aqua Stone,S
47,"Patagonia Torrentshell Jacket - Women's Aqua Stone, M",888336157120,Aqua Stone,M
48,"Patagonia Torrentshell Jacket - Women's Aqua Stone, L",888336157137,Aqua Stone,L
49,"Patagonia Torrentshell Jacket - Women's Ultramarine, XL",888336157779,Ultramarine,XL
50,"Patagonia Torrentshell Jacket - Women's Violet Blue, S",888336514442,Violet Blue,S
51,"Patagonia Torrentshell Jacket - Women's Violet Blue, M",888336514459,Violet Blue,M
52,"Patagonia Torrentshell Jacket - Women's Bleached Stone, M",888336514756,Bleached Stone,M
